key	en_us	zh_cn	zh_tw	zh_hk	ja_jp
language.name	English	简体中文	繁體中文	繁體中文	日本語
language.region	United States	中国	台灣	香港	日本
language.code	en_us	zho-Hans_CN	zho-Hant_TW	zho-Hant_HK	jpn_JP
narrator.button.accessibility	Accessibility	辅助功能	協助工具	協助工具	アクセシビリティ設定
narrator.button.language	Language	语言	語言	語言	言語設定
narrator.button.difficulty_lock	Difficulty lock	难度锁	難度鎖	鎖定難度	難易度の固定
narrator.button.difficulty_lock.unlocked	Unlocked	未锁定	未鎖定	未鎖定	解除されています
narrator.button.difficulty_lock.locked	Locked	已锁定	已鎖定	已鎖定	固定されています
narrator.screen.title	Title Screen	标题屏幕	標題畫面	主畫面	タイトル画面
narrator.controls.reset	Reset %s button	重置%s按钮	重設 %s 按鈕	重設 %s 按鈕	%sのボタンをリセットします
narrator.controls.bound	%s is bound to %s	%s已绑定至%s	%s 已被綁定為 %s	%s 已綁定至 %s	%sは%sに割り当てられています
narrator.controls.unbound	%s is not bound	%s未绑定	%s 未被綁定	未綁定 %s	%sは割り当てられていません
narrator.select	Selected: %s	已选择：%s	已選擇：%s	已選：%s	%sを選択しました
narrator.select.world	Selected %s, last played: %s, %s, %s, version: %s	已选择%s，上次游玩：%s，%s，%s，版本：%s	已選擇 %s，最後遊玩時間為 %s，%s，%s，版本為 %s	已選擇 %s，最後遊玩時間為 %s，%s，%s，版本為 %s	ワールド名が「%s」、最終プレイが%s、ゲームモードが「%s」、%s、バージョンが%sのワールド
narrator.loading	Loading: %s	加载中：%s	正在載入：%s	正在載入：%s	%s読み込み中です
narrator.loading.done	Done	完成	完成	完成	完了
narrator.joining	Joining	加入中	正在加入	正在加入	接続中です
narration.suggestion.tooltip	Selected suggestion %d out of %d: %s (%s)	选中了%2$s项建议中的第%1$s项：%3$s（%4$s）	已從 %2$s 項建議中選擇了第 %1$s 項：%3$s (%4$s)	已經從 %2$s 項建議中選擇第 %1$s 項：%3$s（%4$s）	%2$s個中%1$s番目の提案%3$s、%4$sを選択しました
narration.suggestion	Selected suggestion %d out of %d: %s	选中了%2$s项建议中的第%1$s项：%3$s	已從 %2$s 項建議中選擇了第 %1$s 項：%3$s	已經從 %2$s 項建議中選擇第 %1$s 項：%3$s	%2$s個中%1$s番目の提案%3$sを選択しました
gui.done	Done	完成	完成	完成	完了
gui.cancel	Cancel	取消	取消	取消	キャンセル
gui.back	Back	返回	返回	返回	戻る
gui.toTitle	Back to Title Screen	返回到标题屏幕	返回標題畫面	返回主畫面	タイトル画面へ戻る
gui.toMenu	Back to Server List	返回到服务器列表	返回伺服器清單	返回伺服器列表	サーバーリストへ戻る
gui.up	Up	向上	上	上	上
gui.down	Down	向下	下	下	下
gui.yes	Yes	是	是	是	はい
gui.no	No	否	否	否	いいえ
gui.none	None	无	無	無	なし
gui.all	All	全部	全部	全部	すべて
gui.ok	Ok	确定	確定	確認	OK
gui.proceed	Proceed	继续	繼續	繼續	続ける
gui.recipebook.moreRecipes	Right Click for More	右击以获取更多信息	點擊右鍵以查看更多	按右鍵以了解更多	右クリックで詳細を表示
gui.recipebook.search_hint	Search...	搜索…	搜尋...	搜尋⋯⋯	検索…
gui.recipebook.toggleRecipes.all	Showing All	显示全部	已列出所有項目	顯示全部	すべてのアイテムを表示中
gui.recipebook.toggleRecipes.craftable	Showing Craftable	仅显示可合成	已列出可合成項目	只顯示可合成	クラフト可能なアイテムを表示中
gui.recipebook.toggleRecipes.smeltable	Showing Smeltable	仅显示可烧炼	已列出可熔煉項目	只顯示可熔煉	製錬可能なアイテムを表示中
gui.recipebook.toggleRecipes.blastable	Showing Blastable	仅显示可冶炼	已列出高爐可熔煉項目	只顯示可用高爐熔煉	溶鉱可能なアイテムを表示中
gui.recipebook.toggleRecipes.smokable	Showing Smokable	仅显示可熏制	已列出可燻製項目	只顯示可煙燻	燻製可能なアイテムを表示中
gui.socialInteractions.title	Social Interactions	社交	社群交流	社羣互動	社交設定
gui.socialInteractions.tab_all	All	全部	全部	全部	すべて
gui.socialInteractions.tab_hidden	Hidden	已隐藏	隱藏	隱藏	非表示中
gui.socialInteractions.tab_blocked	Blocked	已屏蔽	已封鎖	已封鎖	ブロック中
gui.socialInteractions.blocking_hint	Manage with Microsoft account	使用Microsoft账户管理	以 Microsoft 帳號管理	利用 Microsoft 帳户管理	Microsoftアカウントで管理する
gui.socialInteractions.status_hidden	Hidden	隐藏	隱藏	隱藏	非表示中
gui.socialInteractions.status_blocked	Blocked	已屏蔽	已封鎖	已封鎖	ブロック中
gui.socialInteractions.status_offline	Offline	离线	離線	離線	オフライン
gui.socialInteractions.status_hidden_offline	Hidden - Offline	隐藏 - 离线	隱藏 - 離線	隱藏 - 離線	非表示中 - オフライン
gui.socialInteractions.status_blocked_offline	Blocked - Offline	已屏蔽 - 离线	已封鎖 - 離線	已封鎖－離線	ブロック中 - オフライン
gui.socialInteractions.server_label.single	%s - %s player	%s - %s名玩家	%s - %s 位玩家	%s - %s 玩家	%s - %s人のプレイヤー
gui.socialInteractions.server_label.multiple	%s - %s players	%s - %s名玩家	%s - %s 位玩家	%s - %s 個玩家	%s - %s人のプレイヤー
gui.socialInteractions.search_hint	Search...	搜索…	搜尋...	搜尋⋯⋯	検索…
gui.socialInteractions.search_empty	Couldn't find any players with that name	未找到使用此名称的玩家	找不到使用此名稱的玩家	揾唔到有嗰個名嘅玩家	その名前のプレイヤーを見つけることができませんでした
gui.socialInteractions.empty_hidden	No players hidden in chat	未隐藏任何玩家的聊天消息	聊天室中沒有被隱藏的玩家	聊天頻道中並無任何被隱藏嘅玩家	チャットを非表示にしているプレイヤーはいません
gui.socialInteractions.empty_blocked	No blocked players in chat	未屏蔽任何玩家的聊天消息	聊天室中沒有已封鎖的玩家	聊天頻道入面無任何被封鎖嘅玩家	チャットをブロックしたプレイヤーはいません
gui.socialInteractions.hide	Hide in Chat	在聊天中隐藏	在聊天室中隱藏	喺聊天欄入面隱藏	チャットを非表示
gui.socialInteractions.show	Show in Chat	在聊天中显示	在聊天室中顯示	喺聊天欄顯示	チャットを表示
gui.socialInteractions.hidden_in_chat	Chat messages from %s will be hidden	%s的聊天消息将会被隐藏	將會隱藏 %s 的聊天訊息	%s 發出嘅訊息將會被隱藏	%sからのチャットは表示されません
gui.socialInteractions.shown_in_chat	Chat messages from %s will be shown	%s的聊天消息将会被显示	將會顯示 %s 的聊天訊息	將會睇到由 %s 發出嘅訊息	%sからのチャットは表示されます
gui.socialInteractions.tooltip.hide	Hide messages from %s in chat	隐藏%s的聊天消息	隱藏聊天室中來自 %s 的訊息	隱藏由 %s 發出嘅訊息	%sからのチャットを表示しない
gui.socialInteractions.tooltip.show	Show messages from %s in chat	显示%s的聊天消息	顯示聊天室中來自 %s 的訊息	顯示 %s 發出嘅訊息	%sからのチャットを表示する
gui.narrate.button	%s button	%s按钮	%s 按鈕	%s 按鈕	%sボタン
